periode_data,wilayah,kecamatan,nama_lokasi,latitude,longitude,periode_pemantauan,parameter,baku_mutu,nilai
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",ORP*,N/A,30
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",Deterjen,0.05,0.05
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)","Zat Organik (KMnO4)",10,6.6
2024,"Kota Adm. Jakarta Utara","Tanjung Priok","Sungai Bambu",-6.127459,106.887618,"Periode 1 (Musim Hujan)","Air Raksa",N/A,0.0009
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",Kadmium,N/A,0.005
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",Timbal,N/A,0.01
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",IP,N/A,3.2
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",Status,N/A,ringan
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Escherichia coli",0,0
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Total Coliform",0,0
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",Temperatur,N/A,27.2
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Total Dissolve Solid",300,145
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",Kekeruhan,3,0.5
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",Warna,10,1
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",pH,N/A,6.865
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Nitrat (sebagai NO3) (terlarut)",20,1.5
2024,"Kota Adm. Jakarta Utara",Penjaringan,Pejagalan,-6.105556,106.768053,"Periode 1 (Musim Hujan)","Nitrit (sebagai NO2) (terlarut)",3,0.092
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Kromium valensi 6 (Cr6+) (terlarut)",0.01,0.001
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Besi (Fe) (terlarut)",0.2,0.05
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Mangan (Mn) terlarut",0.1,0.01
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",Salinitas,N/A,0.01
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Oksigen terlarut (DO)",4,8.25
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Daya Hantar Listrik",N/A,217.5
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",ORP*,N/A,21.5
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",Deterjen,0.05,0.03
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)","Zat Organik (KMnO4)",10,2.9
2024,"Kota Adm. Jakarta Utara","Tanjung Priok","Sunter Agung",-6.137461,106.859387,"Periode 1 (Musim Hujan)","Air Raksa",N/A,0.0009
2024,"Kota Adm. Jakarta Barat",Palmerah,Slipi,-6.193611111,106.8016667,"Periode 2 (Musim Kering)",Kadmium,N/A,0.005
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",Timbal,N/A,0.01
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",IP,N/A,0.4
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",Status,N/A,baik
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Escherichia coli",0,100
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Total Coliform",0,600
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",Temperatur,N/A,27.55
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Total Dissolve Solid",300,168.5
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",Kekeruhan,3,0.285
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",Warna,10,7
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",pH,N/A,6.7
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Nitrat (sebagai NO3) (terlarut)",20,3
2024,"Kota Adm. Jakarta Barat",Tambora,Tambora,-6.146972222,106.8085,"Periode 1 (Musim Hujan)","Nitrit (sebagai NO2) (terlarut)",3,0.093
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Kromium valensi 6 (Cr6+) (terlarut)",0.01,0.001
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Besi (Fe) (terlarut)",0.2,0.01
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Mangan (Mn) terlarut",0.1,0.01
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",Salinitas,N/A,0.02
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Oksigen terlarut (DO)",4,6.4
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Daya Hantar Listrik",N/A,254
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",ORP*,N/A,24
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",Deterjen,0.05,0.03
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)","Zat Organik (KMnO4)",10,1.42
2024,"Kota Adm. Jakarta Utara","Tanjung Priok","Sunter Jaya",-6.154578,106.85944,"Periode 1 (Musim Hujan)","Air Raksa",N/A,0.0009
2024,"Kota Adm. Jakarta Barat",Kembangan,Srengseng,-6.203533,106.756813,"Periode 2 (Musim Kering)",Kadmium,N/A,0.005
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",Timbal,N/A,0.01
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",IP,N/A,10.7
2024,"Kota Adm. Jakarta Selatan",Jagakarsa,"Srengseng Sawah",-6.3455,106.83094,"Periode 2 (Musim Kering)",Status,N/A,berat
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Escherichia coli",0,0
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Total Coliform",0,200
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)",Temperatur,N/A,30.05
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Total Dissolve Solid",300,136.9
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)",Kekeruhan,3,1.975
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)",Warna,10,7
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)",pH,N/A,6.425
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Nitrat (sebagai NO3) (terlarut)",20,9.4
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.132522,106.807665,"Periode 1 (Musim Hujan)","Nitrit (sebagai NO2) (terlarut)",3,0.1
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Kromium valensi 6 (Cr6+) (terlarut)",0.01,0.001
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Besi (Fe) (terlarut)",0.2,0.01
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Mangan (Mn) terlarut",0.1,0.01
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)",Salinitas,N/A,0.01
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Oksigen terlarut (DO)",4,7.05
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Daya Hantar Listrik",N/A,206.35
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)",ORP*,N/A,-21.5
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)",Deterjen,0.05,0.39
2024,"Kota Adm. Jakarta Barat","Kebon Jeruk","Sukabumi Selatan",-6.21776,106.7697,"Periode 2 (Musim Kering)","Zat Organik (KMnO4)",10,2.5
2024,"Kota Adm. Jakarta Timur",Ciracas,Susukan,-6.312777778,106.8747222,"Periode 1 (Musim Hujan)","Air Raksa",N/A,0.0009
